AppId,StartTime,EndTime,Id,Time,Duration,Revenue
Dotyk.Application.AirHockey,2018-02-02T16:53:05.9559191Z,2018-02-02T16:53:35.4Z,8617e0b2-4484-44b4-b332-74762162674e,16.88,0.49,98.0
Dotyk.Application.AirHockey,2018-02-02T17:02:42.3876477Z,2018-02-02T17:06:38.978Z,10307d16-7ec3-4c4e-8d62-c7ad4b4771f7,17.03,3.94,45.0
Dotyk.Application.AirHockey,2018-02-02T17:07:17.6108196Z,2018-02-02T17:14:55.897Z,3ec5b86f-01d2-402b-9f46-ed16f9023f92,17.12,7.64,30.0
Dotyk.Application.AirHockey,2018-02-02T17:17:24.7597847Z,2018-02-02T17:18:27.131Z,718863a0-1898-4813-97ac-7910778e2e27,17.28,1.04,52.0
Dotyk.Application.AirHockey,2018-02-02T17:18:10.4856118Z,2018-02-02T17:18:22.554Z,57708411-d88b-4da6-856e-cd3211b3b238,17.3,0.2,30.0
Dotyk.Application.AirHockey,2018-02-02T17:19:26.8115856Z,2018-02-02T17:20:33.394Z,4fb67d11-6b92-4c05-9bfe-fd652607275e,17.32,1.11,52.0
Dotyk.Application.AirHockey,2018-02-02T17:30:27.1362404Z,2018-02-02T17:47:44.026Z,df1b55ed-45ea-40e3-aa87-a57ec0622360,17.5,17.28,52.0
Dotyk.Application.AirHockey,2018-02-02T17:35:24.8198365Z,2018-02-02T17:37:01.602Z,3fc9d309-e532-42fb-90b7-71c04846d85a,17.58,1.61,25.0
Dotyk.Application.AirHockey,2018-02-02T17:37:05.9080832Z,2018-02-02T17:38:24.095Z,95a4e822-c433-4e49-9e8a-6bdb5f0b8b98,17.62,1.3,25.0
Dotyk.Application.AirHockey,2018-02-02T17:38:27.9616213Z,2018-02-02T17:41:16.196Z,3b28f730-ce55-48e9-bb1f-abdf54b2c8cf,17.63,2.8,25.0
Dotyk.Application.AirHockey,2018-02-02T17:42:03.7570013Z,2018-02-02T17:42:46.717Z,38a20dfa-4f12-4e66-a00f-1ed727b0b556,17.7,0.72,45.0
Dotyk.Application.AirHockey,2018-02-02T17:44:28.3382248Z,2018-02-02T17:45:20.284Z,ef4f22c2-68a0-4e04-a138-c5e33f0a294f,17.73,0.87,98.0
Dotyk.Application.AirHockey,2018-02-02T17:45:56.0648931Z,2018-02-02T17:46:19.641Z,236ea8b4-443e-426c-992f-41067d4f5698,17.75,0.39,45.0
Dotyk.Application.AirHockey,2018-02-02T17:46:43.6318593Z,2018-02-02T17:51:30.872Z,73546b94-b378-4c7a-9bc4-956a4f416059,17.77,4.79,98.0
Dotyk.Application.AirHockey,2018-02-02T17:51:36.3734433Z,2018-02-02T18:08:53.162Z,3e0bc3cd-c8f4-4c10-a881-ec65f07877bd,17.85,17.28,45.0
Dotyk.Application.AirHockey,2018-02-02T17:53:14.160302Z,2018-02-02T17:59:12.973Z,9ea1081d-f58d-413e-afbb-26138918b4fc,17.88,5.98,52.0
Dotyk.Application.AirHockey,2018-02-02T18:01:38.1446549Z,2018-02-02T18:07:17.676Z,0753b3dc-c15a-487f-aed7-36d40f68bd62,18.02,5.66,52.0
Dotyk.Application.AirHockey,2018-02-02T18:04:57.2960177Z,2018-02-02T18:05:55.163Z,eb51f5cb-749f-459c-a255-500860147f45,18.07,0.96,30.0
Dotyk.Application.AirHockey,2018-02-02T18:06:51.0043044Z,2018-02-02T18:08:54.476Z,5de6bfad-8a3d-4ec7-929b-61bea1e22565,18.1,2.06,45.0
Dotyk.Application.AirHockey,2018-02-02T18:09:15.6874912Z,2018-02-02T18:13:41.728Z,060b4f0d-cfd6-4c4d-992e-f92f2c360ebd,18.15,4.43,98.0
Dotyk.Application.AirHockey,2018-02-02T18:09:51.3189613Z,2018-02-02T18:13:53.639Z,2c06f8f3-cf5f-4971-b24a-b47755395ae3,18.15,4.04,52.0
Dotyk.Application.AirHockey,2018-02-02T18:29:31.7762974Z,2018-02-02T18:51:40.194Z,c82627a1-69af-461b-b4af-f0e75402ebe1,18.48,22.14,52.0
Dotyk.Application.AirHockey,2018-02-02T18:53:31.8441375Z,2018-02-02T19:04:22.872Z,7da9ba60-b10f-45e4-adf5-878bf29e890f,18.88,10.85,52.0
Dotyk.Application.AirHockey,2018-02-02T19:41:27.058877Z,2018-02-02T19:42:14.124Z,6251c129-72fc-4de7-9a02-b31737406fb9,19.68,0.78,155.0
