AppId,StartTime,EndTime,Id,Time,Duration,Revenue,Hours,Weekday
Dotyk.Application.PhotoShare,2018-02-03T19:29:17.1739049Z,2018-02-03T19:29:25.567Z,4512fe75-9adb-4b78-b661-a0bd33c0c67d,19.48,0.14,165.0,19,5
Dotyk.Application.PhotoShare,2018-02-03T21:07:37.9408589Z,2018-02-03T21:07:40.192Z,741d74ba-dd99-44d7-831e-fa6007e83abb,21.12,0.04,165.0,21,5
Dotyk.Application.PhotoShare,2018-02-04T00:36:46.3234609Z,2018-02-04T00:36:53.852Z,0f4e270b-f08c-4099-a0e4-a1a217786945,0.6,0.13,105.0,0,6
Dotyk.Application.PhotoShare,2018-02-04T11:19:40.2436745Z,2018-02-04T11:19:49.819Z,2ea821a4-3242-40ad-8c12-b6797e9ac180,11.32,0.16,45.0,11,6
Dotyk.Application.PhotoShare,2018-02-04T11:30:39.3910267Z,2018-02-04T11:30:58.931Z,1bc360ad-43a3-4628-874d-931df41b320d,11.5,0.33,109.0,11,6
Dotyk.Application.PhotoShare,2018-02-04T11:46:08.6173081Z,2018-02-04T11:46:19.344Z,eeee3475-3328-4719-abab-876d8ddde5c1,11.77,0.18,185.0,11,6
Dotyk.Application.PhotoShare,2018-02-04T12:11:32.3994329Z,2018-02-04T12:11:40.244Z,ac784810-ef2c-49a9-b0f8-1e97621c89d0,12.18,0.13,132.0,12,6
Dotyk.Application.PhotoShare,2018-02-04T12:25:47.3262651Z,2018-02-04T12:25:49.548Z,17b3033a-ab58-49ce-a89a-c175d3cc8ab5,12.42,0.04,132.0,12,6
Dotyk.Application.PhotoShare,2018-02-04T13:18:37.8661681Z,2018-02-04T13:18:51.346Z,2730ff6b-7569-4cb5-b1a0-54c711eb1e63,13.3,0.22,185.0,13,6
Dotyk.Application.PhotoShare,2018-02-04T13:28:38.5143247Z,2018-02-04T13:28:59.183Z,5d66cdeb-286c-4cff-a134-d3a584f6a38a,13.47,0.34,109.0,13,6
Dotyk.Application.PhotoShare,2018-02-04T14:12:18.5708203Z,2018-02-04T14:12:28.801Z,2f18f905-2175-42dc-9b6c-77952f4d77ea,14.2,0.17,185.0,14,6
Dotyk.Application.PhotoShare,2018-02-04T14:17:01.9266079Z,2018-02-04T14:21:40.62Z,06a1de3f-7e9c-4c27-ad24-432ce8d12999,14.28,4.64,115.0,14,6
Dotyk.Application.PhotoShare,2018-02-04T14:34:24.1665998Z,2018-02-04T14:38:06.461Z,deebc380-a4e8-42ae-8ba1-3190b8709a7d,14.57,3.7,105.0,14,6
Dotyk.Application.PhotoShare,2018-02-04T15:32:54.2388417Z,2018-02-04T15:33:05.163Z,d4935ed1-3a11-47a9-bb6d-6786b132531d,15.53,0.18,115.0,15,6
Dotyk.Application.PhotoShare,2018-02-04T16:48:22.9167383Z,2018-02-04T16:53:37.52Z,98c9f246-feaa-42e0-adc1-277dbb01835c,16.8,5.24,38.0,16,6
Dotyk.Application.PhotoShare,2018-02-04T17:36:52.0644039Z,2018-02-04T17:37:07.947Z,f25a079c-e84c-40a7-bff5-71ae4448f784,17.6,0.26,185.0,17,6
Dotyk.Application.PhotoShare,2018-02-04T17:36:56.7091381Z,2018-02-04T17:37:04.503Z,759e3001-ec4f-4e77-a3af-79f874cb36f3,17.6,0.13,45.0,17,6
Dotyk.Application.PhotoShare,2018-02-04T17:38:02.4396988Z,2018-02-04T17:38:06.999Z,5e67da5d-9462-4026-8b37-6e4eb60a0962,17.63,0.08,115.0,17,6
Dotyk.Application.PhotoShare,2018-02-04T17:56:56.2941225Z,2018-02-04T17:57:10.829Z,b2ada23b-ae4d-4b06-8c39-5d3233229d9e,17.93,0.24,109.0,17,6
Dotyk.Application.PhotoShare,2018-02-04T18:01:14.6607525Z,2018-02-04T18:01:25.423Z,a2fd6e3a-384d-4ac4-9524-83b8251fabe7,18.02,0.18,115.0,18,6
Dotyk.Application.PhotoShare,2018-02-04T18:04:01.1060503Z,2018-02-04T18:06:07.689Z,f8a6417c-8f18-49f0-9db0-160f988fa8d8,18.07,2.11,109.0,18,6
Dotyk.Application.PhotoShare,2018-02-04T18:14:20.4366573Z,2018-02-04T18:14:56.388Z,13550cfa-b0d5-4eea-a934-e32a26ea3f6f,18.23,0.6,65.0,18,6
Dotyk.Application.PhotoShare,2018-02-04T18:20:25.2137229Z,2018-02-04T18:21:21.683Z,fc6578d2-e151-4763-bead-e91ee2c3015f,18.33,0.94,38.0,18,6
