AppId,StartTime,EndTime,Id,Time,Duration,Revenue,Hours
Dotyk.Application.JigsawPuzzle,2018-02-01T15:43:34.9832651Z,2018-02-01T15:45:02.464Z,c4f71234-f603-4d41-85ac-e6fce9438958,15.72,1.46,129.0,15
Dotyk.Application.PhotoShare,2018-02-01T15:44:48.6577593Z,2018-02-01T15:45:05.528Z,5078dfe7-db0d-4b36-a5ab-bdae5ff19f76,15.73,0.28,36.0,15
Dotyk.Application.PhotoShare,2018-02-01T15:45:07.5828517Z,2018-02-01T15:45:14.577Z,6804b935-95f0-433a-8ac7-2d2cdbb14647,15.75,0.12,129.0,15
Dotyk.Application.Paint,2018-02-01T15:45:13.0707203Z,2018-02-01T15:45:18.183Z,2053f81c-72bc-4b8c-81a7-f3821908b485,15.75,0.09,175.0,15
Dotyk.Application.Memory,2018-02-01T15:45:15.3587261Z,2018-02-01T15:45:39.204Z,63a74993-3747-4c1e-9427-8f6927b4bcdb,15.75,0.4,36.0,15
Dotyk.Application.Memory,2018-02-01T15:45:45.5185115Z,2018-02-01T15:48:57.159Z,258e38fb-989c-407a-9198-afda5a8e11f5,15.75,3.19,36.0,15
Dotyk.Application.Memory,2018-02-01T15:45:52.6736823Z,2018-02-01T15:51:24.024Z,8fcbd9de-a88f-494b-8c50-7781958585cd,15.75,5.52,175.0,15
Dotyk.Application.Restaurant,2018-02-01T15:45:57.8629786Z,2018-02-01T15:50:11.397Z,e1446ab4-fe8e-4a76-9657-66ea9ff587a8,15.75,4.23,129.0,15
Dotyk.Application.Memory,2018-02-01T15:45:59.4315596Z,2018-02-01T15:46:36.821Z,2c18d8cc-6513-4ece-b41b-9af2a5175936,15.75,0.62,19.0,15
Dotyk.Application.Paint,2018-02-01T15:46:43.9546418Z,2018-02-01T15:48:52.069Z,e5582456-ae25-4a5c-bdf4-7589eb21ac4f,15.77,2.14,19.0,15
Dotyk.Application.AirHockey,2018-02-01T15:48:08.3647873Z,2018-02-01T15:53:47.538Z,5baba0b0-3e02-434e-81be-b97b6eff7b18,15.8,5.65,129.0,15
Dotyk.Application.AirHockey,2018-02-01T15:48:10.0063181Z,2018-02-01T16:06:34.101Z,4d0b37cc-e1b4-4c3b-bf28-430ab7de5a06,15.8,18.4,115.0,15
Dotyk.Application.AirHockey,2018-02-01T15:49:06.1333784Z,2018-02-01T15:50:06.839Z,5b41c4e1-b00f-46d2-a01e-a97d2f81e632,15.82,1.01,19.0,15
Dotyk.Application.AirHockey,2018-02-01T15:50:10.1468825Z,2018-02-01T15:50:16.19Z,7e584fdc-367a-4b22-932e-e5fd5fe2a04b,15.83,0.1,19.0,15
Dotyk.Application.PhotoShare,2018-02-01T15:50:36.565517Z,2018-02-01T15:50:39.141Z,d63f9fdf-dfb0-4721-af06-ea3691091ad4,15.83,0.04,129.0,15
Dotyk.Application.JigsawPuzzle,2018-02-01T15:50:46.6522653Z,2018-02-01T15:50:51.447Z,4eee2f54-1abb-4398-8015-aff333d8c870,15.83,0.08,36.0,15
Dotyk.Application.Wallpapers,2018-02-01T15:50:52.4383834Z,2018-02-01T15:52:07.654Z,d64cdd53-e8eb-49ea-8912-9a365ec903b1,15.83,1.25,129.0,15
Dotyk.Application.Restaurant,2018-02-01T15:52:17.726124Z,2018-02-01T15:52:43.287Z,93590ab4-6643-4b53-adf2-ab6aee285ed6,15.87,0.43,19.0,15
Dotyk.Application.PhotoShare,2018-02-01T15:52:19.548902Z,2018-02-01T15:55:22.793Z,2185cd7e-2454-4720-ba46-9029e167eea8,15.87,3.05,129.0,15
Dotyk.Application.PhotoShare,2018-02-01T15:53:11.4559029Z,2018-02-01T15:54:28.206Z,2bae4b5a-e4b0-4bd2-a679-1f2aea65cdfd,15.88,1.28,19.0,15
Dotyk.Application.Paint,2018-02-01T15:53:25.9545563Z,2018-02-01T15:56:03.293Z,d17f5f52-abea-45bd-a3ea-fc6efff8ca72,15.88,2.62,36.0,15
Dotyk.Application.AirHockey,2018-02-01T15:54:00.0691188Z,2018-02-01T15:55:54.64Z,633b85dc-c5e9-45e9-a945-d64bce5c32f6,15.9,1.91,129.0,15
Dotyk.Application.AirHockey,2018-02-01T15:56:10.5012269Z,2018-02-01T15:56:20.027Z,3585a128-08e5-478f-8e77-c13710537a54,15.93,0.16,36.0,15
Dotyk.Application.PhotoShare,2018-02-01T15:56:28.519543Z,2018-02-01T15:58:18.592Z,7b697495-89ec-41b6-8fa9-26d44fcbb90e,15.93,1.83,129.0,15
Dotyk.Application.JigsawPuzzle,2018-02-01T15:57:59.7487317Z,2018-02-01T16:06:45.249Z,99c89d60-0345-411f-a8b8-9598a0ae6b52,15.95,8.76,129.0,15
Dotyk.Application.Restaurant,2018-02-01T16:00:32.4899549Z,2018-02-01T16:03:54.323Z,5570747d-5aa6-42cb-a15b-3fb715a1ac4a,16.0,3.36,129.0,16
Dotyk.Application.Restaurant,2018-02-01T16:00:35.7066303Z,2018-02-01T16:05:48.759Z,f56396fc-eb68-43b3-8e9c-b2e5278e59a9,16.0,5.22,36.0,16
Dotyk.Application.Restaurant,2018-02-01T16:01:00.6337519Z,2018-02-01T16:02:46.602Z,a506a9e5-26c4-41c8-a684-d856824df869,16.02,1.77,175.0,16
Dotyk.Application.Restaurant,2018-02-01T16:01:14.3461975Z,2018-02-01T16:11:35.358Z,2a7c76b5-bfc4-4496-a1aa-6563a90f5c76,16.02,10.35,19.0,16
Dotyk.Application.Wallpapers,2018-02-01T16:01:42.6547511Z,2018-02-01T16:06:50.549Z,0dfac597-0ca4-46cc-a5ea-022621522815,16.02,5.13,38.0,16
Dotyk.Application.JigsawPuzzle,2018-02-01T16:04:01.4148474Z,2018-02-01T16:05:21.467Z,ada459e5-450c-427c-b43a-0b1e758fb36f,16.07,1.33,129.0,16
Dotyk.Application.Restaurant,2018-02-01T16:05:25.1728161Z,2018-02-01T16:06:45.268Z,4daf4ac4-7dca-47b5-b0f8-dcfd478d081b,16.08,1.33,129.0,16
